Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Repeat Offender","Hall of Fame > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106973218/repeat-offender,2.0,-1,Sport,5.11a,1,45,36.16528,-115.44285
"Yearnin' and Learnin'","Hall of Fame > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106063891/yearnin-and-learnin,2.8,-1,Sport,5.11a,1,45,36.16528,-115.44285
"Bad Reputation","Hall of Fame > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106063699/bad-reputation,2.4,-1,Sport,5.11b,1,45,36.16528,-115.44285
"Walk the Line","Hall of Fame > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106063707/walk-the-line,2.5,-1,Sport,5.11b,1,45,36.16528,-115.44285
"Hero Worship","Computer Virus Wall > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/115356833/hero-worship,2.0,-1,Sport,5.10b,1,30,36.16567,-115.44248
"Huevos Rancheros","Breezy Wall > (18) Windy Peak > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/125510627/huevos-rancheros,3.5,-1,Sport,5.9,3,320,36.01622,-115.46569
"The Lazy Fireman","Straight Shooter Wall > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105927508/the-lazy-fireman,2.0,-1,Sport,5.11a,1,,36.1268,-115.48806
Sidewinder,"Straight Shooter Wall > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732491/sidewinder,2.3,-1,Sport,5.11,1,60,36.1268,-115.48806
"This Ain't No Disco","East Face > Mescalito > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108434493/this-aint-no-disco,2.6,-1,"Trad, Sport","5.10a PG13",1,130,36.12301,-115.49265
"Left of Disco","East Face > Mescalito > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108434514/left-of-disco,2.3,-1,"Trad, Sport","5.10b/c PG13",1,130,36.12301,-115.49265
"B'east Face","Rainbow Mountain - East Face > (12) Oak Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/120503445/beast-face,2.7,-1,Sport,5.10c,2,175,36.10679,-115.48516
"Sole Slasher aka Bigfoot","Hidden Falls Wall > (07) Willow Spring > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732938/sole-slasher-aka-bigfoot,2.5,-1,Sport,5.10a,1,60,36.15575,-115.4976
"Buffalo Balls","Hidden Falls Wall > (07) Willow Spring > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108359971/buffalo-balls,2.2,-1,Sport,5.11d,1,40,36.15575,-115.4976
Unknown,"The Case Face > (07) Willow Spring > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/127144316/unknown,3.0,-1,Sport,5.8-,1,75,36.15819,-115.49937
DIC,"The Case Face > (07) Willow Spring > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108837790/dic,3.0,-1,Sport,5.10,1,100,36.15819,-115.49937
"Acid Jacks","Graduate Cliff > (07) Willow Spring > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108466602/acid-jacks,2.5,-1,"Trad, Sport",5.11c,1,80,36.15766,-115.49941
"Ghost Rider","Mossy Ledges Area > (07) Willow Spring > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/122454492/ghost-rider,3.0,-1,Sport,5.8,1,100,36.15925,-115.5009
"Unimpeachable Groping","Ginger Buttress > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732431/unimpeachable-groping,3.5,-1,Sport,5.10b,7,760,36.11213,-115.48829
Mowgli,"Jungle Wall > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108684546/mowgli,2.8,-1,Sport,5.10c,1,150,36.11776,-115.48996
